year,date_iso,legacy_registration_key,category_code,old_current_category_name,restored_category_name
2013,2013-10-02,Conti13:34omydat.aco:568,17,-ROMA.GAS,-GAS.ROMA
2013,2013-09-25,Conti13:34omydat.aco:570,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-09-24,Conti13:34omydat.aco:572,24,-FONDI.LUCE,-LUCE.FONDI
2013,2013-09-25,Conti13:34omydat.aco:578,18,-ROMA.TELEFONO,-TF.ROMA
2013,2013-10-01,Conti13:34omydat.aco:583,43,-VESTITI.ML,-VEST.ML
2013,2013-10-15,Conti13:34omydat.aco:611,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-10-15,Conti13:34omydat.aco:612,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-10-15,Conti13:34omydat.aco:614,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-10-10,Conti13:34omydat.aco:620,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-10-28,Conti13:34omydat.aco:649,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-11-04,Conti13:34omydat.aco:656,43,-VESTITI.ML,-VEST.ML
2013,2013-11-15,Conti13:34omydat.aco:663,26,-FONDI.ACQUA,-ACQUA.FONDI
2013,2013-11-05,Conti13:34omydat.aco:665,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-11-25,Conti13:34omydat.aco:671,18,-ROMA.TELEFONO,-TF.ROMA
2013,2013-11-15,Conti13:34omydat.aco:677,14,-ROMA.CASA,-CASA.ROMA
2013,2013-11-12,Conti13:34omydat.aco:683,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-12-04,Conti13:34omydat.aco:693,17,-ROMA.GAS,-GAS.ROMA
2013,2013-12-09,Conti13:34omydat.aco:724,22,-FONDI.CASA,-CASA.FONDI
2013,2013-12-24,Conti13:34omydat.aco:731,24,-FONDI.LUCE,-LUCE.FONDI
2013,2013-12-11,Conti13:34omydat.aco:733,43,-VESTITI.ML,-VEST.ML
2013,2013-12-30,Conti13:34omydat.aco:744,16,-ROMA.LUCE,-LUCE.ROMA
2013,2013-12-18,Conti13:34omydat.aco:746,14,-ROMA.CASA,-CASA.ROMA
2013,2013-12-31,Conti13:34omydat.aco:756,43,-VESTITI.ML,-VEST.ML
2013,2013-12-31,Conti13:34omydat.aco:762,42,-VESTITI.ANDREA,-VEST.ANDREA
2013,2013-12-23,Conti13:34omydat.aco:793,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2013,2013-11-20,Conti13:34omydat.aco:801,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-01-03,Conti14:34olydat.aco:13,43,-VESTITI.ML,-VEST.ML
2014,2014-01-03,Conti14:34olydat.aco:17,43,-VESTITI.ML,-VEST.ML
2014,2014-01-25,Conti14:34olydat.aco:20,18,-ROMA.TELEFONO,-TF.ROMA
2014,2014-01-15,Conti14:34olydat.aco:24,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-01-27,Conti14:34olydat.aco:30,17,-ROMA.GAS,-GAS.ROMA
2014,2014-01-14,Conti14:34olydat.aco:42,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2014,2014-01-20,Conti14:34olydat.aco:62,14,-ROMA.CASA,-CASA.ROMA
2014,2014-02-17,Conti14:34olydat.aco:102,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-02-17,Conti14:34olydat.aco:103,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-02-14,Conti14:34olydat.aco:108,26,-FONDI.ACQUA,-ACQUA.FONDI
2014,2014-03-10,Conti14:34olydat.aco:115,17,-ROMA.GAS,-GAS.ROMA
2014,2014-03-17,Conti14:34olydat.aco:128,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-03-25,Conti14:34olydat.aco:140,18,-ROMA.TELEFONO,-TF.ROMA
2014,2014-03-17,Conti14:34olydat.aco:155,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-03-17,Conti14:34olydat.aco:158,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-03-13,Conti14:34olydat.aco:166,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2014,2014-03-24,Conti14:34olydat.aco:167,24,-FONDI.LUCE,-LUCE.FONDI
2014,2014-04-04,Conti14:34olydat.aco:224,43,-VESTITI.ML,-VEST.ML
2014,2014-04-12,Conti14:34olydat.aco:245,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2014,2014-05-05,Conti14:34olydat.aco:282,43,-VESTITI.ML,-VEST.ML
2014,2014-05-05,Conti14:34olydat.aco:283,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-05-16,Conti14:34olydat.aco:290,26,-FONDI.ACQUA,-ACQUA.FONDI
2014,2014-05-25,Conti14:34olydat.aco:291,18,-ROMA.TELEFONO,-TF.ROMA
2014,2014-05-15,Conti14:34olydat.aco:293,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-05-15,Conti14:34olydat.aco:294,17,-ROMA.GAS,-GAS.ROMA
2014,2014-05-10,Conti14:34olydat.aco:298,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2014,2014-05-19,Conti14:34olydat.aco:316,22,-FONDI.CASA,-CASA.FONDI
2014,2014-06-04,Conti14:34olydat.aco:344,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-06-04,Conti14:34olydat.aco:346,43,-VESTITI.ML,-VEST.ML
2014,2014-05-29,Conti14:34olydat.aco:348,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2014,2014-06-16,Conti14:34olydat.aco:349,17,-ROMA.GAS,-GAS.ROMA
2014,2014-06-17,Conti14:34olydat.aco:350,16,-ROMA.LUCE,-LUCE.ROMA
2014,2014-06-16,Conti14:34olydat.aco:369,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2014,2014-06-25,Conti14:34olydat.aco:393,24,-FONDI.LUCE,-LUCE.FONDI
2014,2014-07-04,Conti14:34olydat.aco:411,43,-VESTITI.ML,-VEST.ML
2014,2014-07-04,Conti14:34olydat.aco:412,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-07-04,Conti14:34olydat.aco:413,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-07-04,Conti14:34olydat.aco:414,43,-VESTITI.ML,-VEST.ML
2014,2014-07-04,Conti14:34olydat.aco:416,43,-VESTITI.ML,-VEST.ML
2014,2014-07-04,Conti14:34olydat.aco:417,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-07-04,Conti14:34olydat.aco:418,43,-VESTITI.ML,-VEST.ML
2014,2014-07-04,Conti14:34olydat.aco:419,43,-VESTITI.ML,-VEST.ML
2014,2014-07-04,Conti14:34olydat.aco:420,42,-VESTITI.ANDREA,-VEST.ANDREA
2014,2014-07-08,Conti14:34olydat.aco:431,14,-ROMA.CASA,-CASA.ROMA
